0.000000,3.800000
-0.600000,0.000000
-1.200000,3.800000
-1.800000,0.000000
-2.400000,3.800000
-3.000000,0.000000
-3.600000,3.800000
-4.200000,0.000000
-4.800000,3.800000
-5.400000,0.000000
-6.000000,4.000000
-6.600000,0.000000
-7.200000,4.000000
-7.800000,0.000000
-8.400000,4.000000
-9.000000,0.000000
-10.000000,4.000000
-11.000000,0.000000
-12.000000,4.000000
-13.000000,0.000000
-14.000000,4.000000
-15.000000,0.000000
-16.000000,4.000000
-17.000000,0.000000
-19.000000,4.000000
-21.000000,0.000000
-23.000000,4.000000
-25.000000,0.000000
-28.000000,4.000000
-31.000000,0.000000
-34.000000,4.000000
-37.000000,0.000000
